year,month,基本料金,第1段階単価,第2段階単価,第3段階単価,燃料費調整単価,再エネ賦課金単価,負担軽減支援単価,一括受電割引率
2024,1,1247.00,29.80,36.40,40.49,-6.15,1.40,-3.50,0.08
2024,2,1247.00,29.80,36.40,40.49,-6.06,1.40,-3.50,0.08
2024,3,1247.00,29.80,36.40,40.49,-5.78,1.40,-3.50,0.08
2024,4,1247.00,29.80,36.40,40.49,-5.71,3.49,-3.50,0.08
2024,5,1247.00,29.80,36.40,40.49,-5.64,3.49,-3.50,0.08
2024,6,1247.00,29.80,36.40,40.49,-5.80,3.49,-1.80,0.08
2024,7,1247.00,29.80,36.40,40.49,-6.09,3.49,0.00,0.08
2024,8,1247.00,29.80,36.40,40.49,-2.31,3.49,-4.00,0.08
2024,9,1247.00,29.80,36.40,40.49,-6.37,3.49,-4.00,0.08
2024,10,1247.00,29.80,36.40,40.49,-6.19,3.49,-4.00,0.08
2024,11,1247.00,29.80,36.40,40.49,-6.17,3.49,-2.50,0.08
2024,12,1247.00,29.80,36.40,40.49,-6.33,3.49,0.00,0.08
2025,1,1247.00,29.80,36.40,40.49,-6.51,3.49,0.00,0.08
2025,2,1247.00,29.80,36.40,40.49,-6.50,3.49,-2.50,0.08
2025,3,1247.00,29.80,36.40,40.49,-6.33,3.49,-2.50,0.08
2025,4,1247.00,29.80,36.40,40.49,-6.08,3.98,-1.30,0.08
2025,5,1247.00,29.80,36.40,40.49,-6.19,3.98,0.00,0.08
2025,6,1247.00,29.80,36.40,40.49,-6.39,3.98,0.00,0.08
2025,7,1247.00,29.80,36.40,40.49,-6.88,3.98,0.00,0.08
2025,8,1247.00,29.80,36.40,40.49,-7.25,3.98,-2.00,0.08
2025,9,1247.00,29.80,36.40,40.49,-7.50,3.98,-2.40,0.08
2025,10,1247.00,29.80,36.40,40.49,-7.65,3.98,-2.00,0.08
2025,11,1247.00,29.80,36.40,40.49,-7.65,3.98,0.00,0.08
2025,12,1247.00,29.80,36.40,40.49,-7.70,3.98,0.00,0.08
2026,1,1247.00,29.80,36.40,40.49,-7.72,3.98,0.00,0.08
2026,2,1247.00,29.80,36.40,40.49,-7.72,3.98,-4.50,0.08
2026,3,1247.00,29.80,36.40,40.49,-7.59,3.98,-4.50,0.08
2026,4,1247.00,29.80,36.40,40.49,-7.43,3.98,-1.50,0.08
2026,5,1247.00,29.80,36.40,40.49,-7.37,4.18,0.00,0.08
2026,6,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,7,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,8,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,9,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,10,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,11,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2026,12,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2027,1,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2027,2,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2027,3,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
2027,4,1247.00,29.80,36.40,40.49,-7.30,4.18,0.00,0.08
